crew_name,id_movie
300ml,[458335]
50 Cent,[25467]
A. Dean Bell,[96393]
A. Edward Sutherland,"[22999, 28423, 30230, 23253, 39311, 31445, 28810]"
A. G. Amid,[330399]
A. Karunakaran,"[81060, 63414]"
A. L. Vijay,[63964]
A. Todd Smith,[370687]
A.B. Stone,[336560]
A.D. Calvo,"[167198, 407757]"
A.E. Weed,[163111]
A.J. Edwards,[192142]
A.R. Murugadoss,"[14070, 273886, 69401, 69636, 86718]"
A.V. Bramble,[222220]
A.W. Vidmer,[27079]
AJ Kparr,[53655]
AJ Schnack,"[30055, 25630, 173168]"
Aage Rais-Nordentoft,[56245]
Aamir Khan,[7508]
Aarne Tarkas,[156917]
Aaron Aites,[36124]
Aaron Biebert,[395965]
Aaron Blaise,[10009]
Aaron Butler,[121170]
Aaron C. Peer,[123634]
Aaron Cohen,[367524]
Aaron Douglas Johnston,[121245]
Aaron Fronk,[422127]
Aaron Hann,[335866]
Aaron Harvey,[75736]
Aaron J. Wiederspahn,[171738]
Aaron James Sorensen,[47273]
Aaron Katz,"[46883, 55934, 252102, 74790, 412302]"
Aaron Kaufman,[353433]
Aaron Keeling,[326247]
Aaron Kim Johnston,[37218]
Aaron Leong,[388256]
Aaron Lipstadt,"[38849, 108059]"
Aaron Lubarsky,[158413]
Aaron Marshall,[83587]
Aaron Moorhead,"[121606, 267806, 241855]"
Aaron Nee,[333675]
Aaron Newman,[83566]
Aaron Norris,"[27352, 19086, 22590, 31544, 36278, 63988, 48457]"
Aaron Osborne,[222848]
Aaron Rose,[27286]
Aaron Russo,[24254]
Aaron Schneider,[44718]
Aaron Seelman,[238302]
Aaron Seltzer,"[10073, 9760, 7278, 13805, 40264, 225703, 325358, 238475]"
Aaron Springer,[278901]
Aaron T. Wells,[117942]
Aaron Wilson,[215946]
Aaron Woodley,"[42891, 17775, 73818, 322487]"
Aaron Woolf,[15281]
Aarón Fernández Lesur,"[209440, 312101]"
Aatish Kapadia,[53283]
Abbas Alibhai Burmawalla,"[107548, 83382, 19658, 41902, 19657, 54959, 22316, 165404, 20145, 22315, 44749]"
Abbas Fahdel,"[345139, 82405]"
Abbas Kiarostami,"[30020, 14633, 49964, 30017, 83761, 43423, 47104, 36108, 57251, 48336, 48303, 128442, 54001, 87308, 149507, 126004, 129942, 134209, 117404, 102001, 154413, 287877, 129943, 94513, 129945, 145075]"
Abbas Tyrewala,[14467]
Abbe Wool,[40841]
Abby Berlin,[3966]
Abby Epstein,[18218]
Abdallah Omeish,[18152]
Abdellatif Kechiche,"[8280, 1549, 152584, 56405, 72480]"
Abderrahmane Sissako,"[62652, 47226, 265228]"
Abdul Malik Abbott,[25006]
Abdullah Oguz,[23112]
Abe Forsythe,[373247]
Abe Levitow,"[32328, 28476, 49742]"
Abe Levy,[180688]
Abe Rosenberg Fishbein,[317903]
Abe Sylvia,[70695]
Abel Ferrara,"[34996, 4722, 49299, 21612, 9558, 21430, 12143, 25690, 22171, 35888, 13553, 64942, 50318, 120529, 18680, 49110, 209802, 86820, 197696, 47212, 191476, 283700]"
Abel Ferry,[30974]
Abel Gance,"[42536, 50182, 70804, 66963, 130633, 79892]"
Abel Vang,[407531]
Abhinav Kashyap,[44425]
Abhinav Shiv Tiwari,[376681]
Abhinay Deo,[67109]
Abhishek Chaubey,"[33556, 248698, 398535]"
Abhishek Jain,[299049]
Abhishek Kapoor,"[168245, 19672, 376047]"
Abhishek Sharma,[42323]
Abhishek Varman,[259720]
Abner Pastoll,[347752]
Abolfazl Jalili,[43765]
Abraham Polonsky,"[26744, 42619]"
Abrar Alvi,[70366]
Abrid Shine,[381374]
Ace Cruz,[93782]
Ace Jordan,[308017]
Achero Mañas,"[33504, 9775, 106446]"
